m,MSE,j=1,j=2,j=3,j=4,j=5,j=6,j=7,j=8,j=9,j=10,j=11,j=12,j=13,j=14,j=15,j=16,j=17,j=18
2,0.363380 ,0.797885 ,,,,,,,,,,,,,,,,,
3,0.190174 ,1.224006 ,,,,,,,,,,,,,,,,,
4,0.117482 ,0.452780 ,1.510418 ,,,,,,,,,,,,,,,,
5,0.079941 ,0.764568 ,1.724147 ,,,,,,,,,,,,,,,,
6,0.057978 ,0.317716 ,1.000106 ,1.893595 ,,,,,,,,,,,,,,,
7,0.044000 ,0.560577 ,1.188147 ,2.033369 ,,,,,,,,,,,,,,,
8,0.034548 ,0.245094 ,0.756005 ,1.343909 ,2.151946 ,,,,,,,,,,,,,,
9,0.027853 ,0.443639 ,0.918796 ,1.476392 ,2.254664 ,,,,,,,,,,,,,,
10,0.022937 ,0.199623 ,0.609858 ,1.057825 ,1.591340 ,2.345096 ,,,,,,,,,,,,,
11,0.019220 ,0.367458 ,0.752367 ,1.178826 ,1.692639 ,2.425746 ,,,,,,,,,,,,,
12,0.016340 ,0.168438 ,0.511847 ,0.876780 ,1.285711 ,1.783030 ,2.498435 ,,,,,,,,,,,,
13,0.014063 ,0.313773 ,0.638251 ,0.986949 ,1.381263 ,1.864518 ,2.564525 ,,,,,,,,,,,,
14,0.012232 ,0.145706 ,0.441321 ,0.750443 ,1.085635 ,1.467528 ,1.938612 ,2.625063 ,,,,,,,,,,,
15,0.010737 ,0.273857 ,0.554764 ,0.851134 ,1.174879 ,1.546057 ,2.006474 ,2.680866 ,,,,,,,,,,,
16,0.009501 ,0.128395 ,0.388048 ,0.656759 ,0.942340 ,1.256231 ,1.618046 ,2.069017 ,2.732590 ,,,,,,,,,,
17,0.008467 ,0.242994 ,0.490882 ,0.749287 ,1.025597 ,1.330896 ,1.684442 ,2.126971 ,2.780762 ,,,,,,,,,,
18,0.007593 ,0.114769 ,0.346346 ,0.584302 ,0.833862 ,1.102100 ,1.399827 ,1.746003 ,2.180927 ,2.825817 ,,,,,,,,,
19,0.006848 ,0.218409 ,0.440355 ,0.669797 ,0.911666 ,1.172801 ,1.463791 ,1.803345 ,2.231373 ,2.868116 ,,,,,,,,,
20,0.006208 ,0.103763 ,0.312791 ,0.526488 ,0.748533 ,0.983642 ,1.238467 ,1.523414 ,1.856977 ,2.278714 ,2.907961 ,,,,,,,,
21,0.005653 ,0.198357 ,0.399356 ,0.605892 ,0.821442 ,1.050552 ,1.299725 ,1.579214 ,1.907323 ,2.323289 ,2.945607 ,,,,,,,,
22,0.005170 ,0.094686 ,0.285199 ,0.479232 ,0.679485 ,0.889276 ,1.113019 ,1.357093 ,1.631622 ,1.954739 ,2.365386 ,2.981274 ,,,,,,,
